exp,src,dst,number_of_packets,packet_size,time
38,0,1,100,4000,0.000057
39,0,1,100,4000,0.000057
40,0,1,100,4000,0.000057
41,0,1,100,4000,0.000057
42,0,1,100,4000,0.000059
43,0,1,100,4000,0.000057
44,0,1,100,4000,0.000057
45,0,1,100,4000,0.000057
46,0,1,100,4000,0.000057
47,0,1,100,4000,0.000057
48,0,1,100,4000,0.000057
49,0,1,100,4000,0.000057
50,0,1,100,4000,0.000057
51,0,1,100,4000,0.000057
52,0,1,100,4000,0.000057
53,0,1,100,4000,0.000057
54,0,1,100,4000,0.000057
55,0,1,100,4000,0.000057
56,0,1,100,4000,0.000057
57,0,1,100,4000,0.000057
58,0,1,100,4000,0.000057
59,0,1,100,4000,0.000059
60,0,1,100,4000,0.000057
61,0,1,100,4000,0.000057
62,0,1,100,4000,0.000057
63,0,1,100,4000,0.000057
64,0,1,100,4000,0.000057
65,0,1,100,4000,0.000057
66,0,1,100,4000,0.000057
67,0,1,100,4000,0.000057
68,0,1,100,4000,0.000057
69,0,1,100,4000,0.000057
70,0,1,100,4000,0.000057
71,0,1,100,4000,0.000057
72,0,1,100,4000,0.000057
73,0,1,100,4000,0.000057
74,0,1,100,4000,0.000057
75,0,1,100,4000,0.000078
76,0,1,100,4000,0.000057
77,0,1,100,4000,0.000057
78,0,1,100,4000,0.000057
79,0,1,100,4000,0.000057
80,0,1,100,4000,0.000057
81,0,1,100,4000,0.000057
82,0,1,100,4000,0.000057
83,0,1,100,4000,0.000057
84,0,1,100,4000,0.000057
85,0,1,100,4000,0.000057
86,0,1,100,4000,0.000056
87,0,1,100,4000,0.000057
88,0,1,100,4000,0.000057
89,0,1,100,4000,0.000057
90,0,1,100,4000,0.000057
91,0,1,100,4000,0.000079
92,0,1,100,4000,0.000057
93,0,1,100,4000,0.000057
94,0,1,100,4000,0.000057
95,0,1,100,4000,0.000057
96,0,1,100,4000,0.000057
97,0,1,100,4000,0.000057
98,0,1,100,4000,0.000057
99,0,1,100,4000,0.000057
1,0,1,100,40000,0.000669
2,0,1,100,40000,0.000537
3,0,1,100,40000,0.000536
4,0,1,100,40000,0.000542
5,0,1,100,40000,0.000579
6,0,1,100,40000,0.000563
7,0,1,100,40000,0.000547
8,0,1,100,40000,0.000546
9,0,1,100,40000,0.000547
10,0,1,100,40000,0.000586
11,0,1,100,40000,0.000566
12,0,1,100,40000,0.000569
13,0,1,100,40000,0.000556
14,0,1,100,40000,0.000560
15,0,1,100,40000,0.000574
16,0,1,100,40000,0.000566
17,0,1,100,40000,0.000558
18,0,1,100,40000,0.000545
19,0,1,100,40000,0.000568
20,0,1,100,40000,0.000542
21,0,1,100,40000,0.000599
22,0,1,100,40000,0.000544
23,0,1,100,40000,0.000566
24,0,1,100,40000,0.000568
25,0,1,100,40000,0.000554
