bounce,src,dst,packet_size,time
13,6,7,400,0.002354
38,4,5,400,0.000975
39,2,3,400,0.000770
43,0,1,400,0.000774
39,4,5,400,0.000973
44,0,1,400,0.000801
40,2,3,400,0.000846
40,4,5,400,0.000822
45,0,1,400,0.001001
14,6,7,400,0.002421
41,2,3,400,0.000933
41,4,5,400,0.000971
46,0,1,400,0.000758
42,2,3,400,0.000971
42,4,5,400,0.000833
47,0,1,400,0.000776
43,2,3,400,0.000826
43,4,5,400,0.000966
48,0,1,400,0.000781
15,6,7,400,0.002430
44,2,3,400,0.000792
49,0,1,400,0.000789
44,4,5,400,0.000916
45,2,3,400,0.000968
50,0,1,400,0.001019
45,4,5,400,0.000942
46,2,3,400,0.000842
51,0,1,400,0.000792
16,6,7,400,0.002424
46,4,5,400,0.000967
47,2,3,400,0.000787
52,0,1,400,0.000761
47,4,5,400,0.000847
48,2,3,400,0.000985
53,0,1,400,0.001018
48,4,5,400,0.000969
49,2,3,400,0.000809
17,6,7,400,0.002382
54,0,1,400,0.000787
49,4,5,400,0.000815
50,2,3,400,0.000769
55,0,1,400,0.001018
51,2,3,400,0.000786
50,4,5,400,0.000823
56,0,1,400,0.000770
52,2,3,400,0.000817
18,6,7,400,0.002337
51,4,5,400,0.000972
57,0,1,400,0.000765
53,2,3,400,0.000769
52,4,5,400,0.000967
58,0,1,400,0.000773
54,2,3,400,0.000935
53,4,5,400,0.000847
59,0,1,400,0.000776
19,6,7,400,0.002376
55,2,3,400,0.000919
54,4,5,400,0.000970
60,0,1,400,0.000794
56,2,3,400,0.000908
55,4,5,400,0.000942
61,0,1,400,0.001009
57,2,3,400,0.000970
62,0,1,400,0.000787
20,6,7,400,0.002419
56,4,5,400,0.000992
58,2,3,400,0.000793
63,0,1,400,0.000766
57,4,5,400,0.000955
59,2,3,400,0.000973
64,0,1,400,0.000775
58,4,5,400,0.000979
65,0,1,400,0.000770
60,2,3,400,0.000968
21,6,7,400,0.002345
59,4,5,400,0.000819
66,0,1,400,0.000776
61,2,3,400,0.000762
62,2,3,400,0.000771
60,4,5,400,0.000972
67,0,1,400,0.001005
61,4,5,400,0.000979
68,0,1,400,0.000784
22,6,7,400,0.002426
63,2,3,400,0.000974
69,0,1,400,0.000767
62,4,5,400,0.000979
64,2,3,400,0.000973
70,0,1,400,0.001009
65,2,3,400,0.000969
63,4,5,400,0.000915
23,6,7,400,0.002427
71,0,1,400,0.000795
66,2,3,400,0.000779
64,4,5,400,0.000981
72,0,1,400,0.000779
67,2,3,400,0.000933
65,4,5,400,0.000868
73,0,1,400,0.000790
68,2,3,400,0.000959
66,4,5,400,0.000975
24,6,7,400,0.002350
74,0,1,400,0.000799
69,2,3,400,0.000769
67,4,5,400,0.000825
75,0,1,400,0.000995
68,4,5,400,0.000966
70,2,3,400,0.000797
76,0,1,400,0.000795
25,6,7,400,0.002419
69,4,5,400,0.000837
71,2,3,400,0.000963
77,0,1,400,0.001010
70,4,5,400,0.000790
72,2,3,400,0.000861
78,0,1,400,0.000789
71,4,5,400,0.000979
73,2,3,400,0.000972
26,6,7,400,0.002362
79,0,1,400,0.000997
74,2,3,400,0.000781
72,4,5,400,0.000807
80,0,1,400,0.000800
75,2,3,400,0.000931
73,4,5,400,0.000984
81,0,1,400,0.000793
